DefaultedAdvances,AdvanceAmount,CurrentBalance,LatefeesTotalCount,CreditAccounts,LastRepaymentAmount,OverdraftCount,OverdraftTotal,AverageMonthlySpend,BalanceAverage,BalanceMin,TotalAssets,AverageNumberOfTransactionsADay,TotalCash,LatefeesCount,Paycheck,TotalHistoryInDays,AverageMonthlyIncome,AverageMonthlyDiscretionarySpend,CheckingAccountCount,CreditAccountCount,SavingsAccountCount,OutstandingCreditDebtWherePayingInterest,AverageNumberOfTransactionsADayPrimaryChecking,NegativeBalanceCount,PaycheckModelUsed,NumberOfMatches,ErrorRate,IsNameBased,BalanceAbove100L30Count,AveragePotentialMonthlyIncome,HasEmpowerBanking
0,50,224.11,0,0,0,5,20,-5870.817998,283.7,-136.09,493.84,5.870229008,493.84,0,2090.696111,558.6327594,5371.236921,-1818.393333,1,0,0,0,5.870229008,0,BruteForce,5,0,1,20,3640.813333,1
0,50,198.83,0,0,0,3,3,-7215.558138,906.1,-87.32,198.83,1.987654321,198.83,0,3301.494444,730.7228015,5050.979705,-867.3466667,1,0,0,0,1.987654321,3,BruteForce,5,0,1,21,14441.13333,0
0,50,32.43,0,0,0,0,0,-4075.434513,568.01,-92.01,118.76,3.293706294,118.76,0,1137.5,287.8761555,2516.078145,-1540.166667,1,0,0,0,3.293706294,0,BruteForce,5,0,0,14,3855.43,1
0,50,177.41,0,0,0,0,3,-460.1002431,50.41,-48.38,177.41,1.037087912,177.41,0,1533.490833,729.6035985,709.4147849,-596.84,1,0,0,0,1.037087912,1,BruteForce,7,0,0,9,1309.566667,1
0,50,,0,0,0,0,10,-12965.47453,932.06,15.92,945.49,3.707317073,945.49,0,4223.98,1478.11513,12071.38497,-637.1266667,1,0,0,0,3.707317073,0,BruteForce,5,0,1,0,2575.493333,1
0,50,3.85,0,0,0,0,0,-4061.364526,613.59,-37.97,4.25,2.403819918,4.25,0,3815.11,734.9737167,3569.292755,-849.1133333,1,0,1,0,2.311050477,5,BruteForce,3,1,0,0,1874.076667,1
0,50,0.44,0,1,0,1,10,-4295.690682,251.73,-21.04,0.44,3.523809524,0.44,0,2743.08,588.7209196,4047.582601,-1837.703333,1,1,0,0,3.496598639,1,BruteForce,3,0,0,18,4735.93,1
0,50,174.55,1,1,100,0,38,-12718.10314,1896.47,180.03,184.16,4.879456706,184.16,0,4309.991111,2358.096189,11484.69635,-2329.74,1,1,1,513.61,4.81663837,0,BruteForce,5,0,1,30,12964.22,0
0,50,182.87,0,0,0,0,0,-1391.620961,432.22,-488.82,2012.22,2.287531807,1268.29,0,1262.899444,1970.869817,1767.377786,-601.6366667,3,0,3,0,1.104545455,30,BruteForce,5,0,1,9,1457.286667,1
0,50,,0,0,0,0,0,-1652.420513,191.49,-44.65,-43.88,3.483561644,-43.88,0,1599.7475,730.6101149,1446.048665,-1136.21,1,0,1,0,2.708219178,17,BruteForce,11,0,0,13,2886.233333,0
0,50,244.61,0,0,0,5,5,-1382.509539,6.47,-620.72,4.14,1.506329114,4.14,0,1756.293333,83.87621061,1347.598718,-46.25666667,2,0,0,0,1.506329114,24,BruteForce,3,0,0,0,389.0333333,1
0,50,919.61,0,0,0,1,1,-5221.490909,501.79,2.56,919.61,4.659090909,919.61,0,3526.93,90.12887627,4730.14768,-1402.09,1,0,0,0,4.659090909,0,BruteForce,5,0,1,0,1480.576667,0
0,50,179.22,0,0,0,2,21,-18315.68568,1477.96,-82.97,731.28,6.0625,731.28,0,1508.548889,594.7553187,18546.28193,-2215.643333,1,0,2,0,5.613175676,1,BruteForce,5,0,1,25,19951.64667,0
0,50,174.12,0,0,0,3,6,-6151.973611,1418.34,112.96,199.15,3.744493392,199.15,0,2503.576111,183.7513777,4633.545026,-1818.2,1,0,1,0,4.637362637,0,BruteForce,3,0,0,30,8052.506667,0
0,50,,0,0,0,2,2,-2532.782163,141.94,-96.69,35.07,2.730337079,-8.33,0,1170.71,90.37745417,2490.677294,-359.32,1,0,0,0,2.730337079,4,BruteForce,3,0,0,0,637.16,1
0,50,335.79,0,0,0,0,1,-3332.491317,501.28,-94.24,55.79,3.068527919,55.79,0,1749.14,738.9017474,3309.218106,-1115.706667,1,0,1,0,2.934010152,14,BruteForce,3,0,0,0,902.1166667,0
0,50,46.18,0,0,0,0,22,-6089.918837,908.14,-49.53,-3.82,4.692216981,-3.82,0,2678.953333,850.6292451,5938.533902,-1145.706667,1,0,1,0,4.619103774,10,BruteForce,5,0,0,16,5294.55,0
0,50,,0,0,0,0,0,-6047.259501,279.48,-100.92,-54.77,4.938356164,-54.77,0,2575.653333,730.7843523,1735.199413,-1508.28,1,0,1,0,4.046575342,28,BruteForce,3,0,0,7,4370.36,1
0,50,,0,0,0,0,0,-2543.742472,247.31,-52.3,25.21,8.162983425,25.21,0,1797.726667,362.1564525,2587.391229,-702.4966667,1,0,1,0,6.082872928,0,BruteForce,5,1,0,16,2485.623333,0
0,50,0.29,0,0,0,0,0,-2860.550327,354.41,-0.45,0.3,2.229591837,0.3,0,2056.419444,700.7472029,468.6766382,-871.0733333,1,0,1,0,2.137755102,0,BruteForce,4,0,1,15,3122.406667,0
0,50,216.4,0,0,0,0,0,-3361.532231,286.49,0.43,267.17,3.922005571,267.17,0,2529.865,361.7478997,3225.156063,-825.0333333,2,0,0,0,3.922005571,0,BruteForce,7,0,0,14,3516.463333,1
0,50,81.36,0,0,0,0,46,-3691.973324,416.69,-31.2,54.36,1.953316953,54.36,0,1851.221667,814.8336763,3605.796723,-1588.783333,1,0,1,0,1.941031941,0,BruteForce,5,0,1,25,5761.046667,0
0,50,,0,0,0,0,0,-1862.194991,1045.91,-36.5,-19.2,2.41322314,-19.2,0,2121.376111,606.5734606,575.3377493,-857.5233333,3,0,2,0,1.719008264,7,BruteForce,4,1,0,12,3664.416667,1
0,50,3.63,0,0,0,1,1,-991.2424274,72.41,-10.07,347.92,1.306905371,347.92,0,1326.86,869.6343703,994.7446161,-230.8333333,1,0,1,0,1.283887468,2,BruteForce,7,0,0,0,781.87,1
0,50,0.12,0,0,0,19,34,-4587.008357,161.66,-1379.5,-106.21,2.938547486,-106.21,0,3378.519444,181.9548035,4247.040084,-1275.436667,2,0,1,0,2.575418994,26,BruteForce,5,0,1,9,5536.316667,0
0,50,0.56,0,0,0,0,0,-6112.214683,634.06,-39.11,9.32,5.506072874,9.32,0,1588,494.8863671,2948.973082,-2519.533333,2,0,1,0,4.751012146,0,BruteForce,3,0,0,26,6225.18,1
0,50,,0,0,0,0,0,-4487.212065,416.79,-77.79,-19.76,3.852054795,-19.76,0,2723.37,730.2700718,2897.277813,-1274.283333,1,0,1,0,3.504109589,9,BruteForce,3,0,0,14,4325.163333,1
0,50,112.95,0,0,0,7,9,-2678.692321,-9.22,-285.13,3.69,1.471204188,3.69,0,1763.666667,194.1320009,2118.905895,-242.2666667,2,0,2,0,1.471204188,21,BruteForce,3,1,0,2,1553.506667,1
0,50,3.33,0,0,0,7,16,-2107.453064,343.14,-245.55,4.33,2.115315315,4.33,0,1086.489444,557.4647303,1978.305112,-253.9533333,1,0,1,0,2.113513514,1,BruteForce,6,0,0,0,648.75,1
0,50,46.79,0,0,0,0,0,-3572.503289,461.72,12.97,46.79,4.592178771,46.79,0,2699.002222,359.8859905,3697.888685,-979.6266667,1,0,0,0,4.592178771,0,BruteForce,5,0,1,20,3712.16,0
0,50,,0,0,0,0,0,-3189.906439,-41.9,-318.76,121.48,3.5,121.48,0,2128.630833,90.63891945,3450.362892,-1655.21,1,0,0,0,3.5,29,BruteForce,7,0,0,6,3231.583333,0
0,50,,0,4,0,14,56,-5684.18,291.06,-145.46,5.54,2.448963317,5.54,0,3936.45,1073.698598,4853.2525,-1057.973333,1,4,1,0,2.539608574,7,BruteForce,11,0,0,0,4299.62,0
0,50,73.8,0,0,0,0,4,-6754.334268,142.93,-437.3,132.17,5.179836512,132.17,0,5159.425556,368.9589097,6032.108633,-2310.356667,1,0,0,0,5.179836512,37,BruteForce,5,0,1,8,8695.313333,0
0,50,,0,0,0,6,6,-3867.468797,173.17,-84.44,-17.93,5.284090909,-17.93,0,2304.67,89.43908023,3025.131061,-1319.216667,1,0,0,0,5.284090909,6,BruteForce,3,0,0,0,1152.423333,1
0,50,0.33,0,0,0,8,33,-5050.15039,439.33,-260.87,68.28,3.682741117,68.28,0,3311.569444,609.6273823,3262.791632,-912.48,1,0,1,0,3.677664975,9,BruteForce,6,0,0,0,535.09,1
0,50,34.08,0,1,0,0,1,-2883.098096,198.98,0.24,112.09,2.596205962,112.09,0,2186.946667,740.9175859,2326.562313,-1716.786667,1,1,0,0,2.596205962,0,BruteForce,11,0,0,14,3637.156667,0
0,50,54.27,0,0,0,1,13,-4593.857894,408.65,-252.08,54.27,2.633093525,54.27,0,3197.169444,557.8971906,4000.077245,-800.2766667,1,0,0,0,2.633093525,4,BruteForce,5,0,1,23,5161.603333,0
0,50,,0,0,0,0,0,-6915.193136,836.49,-98.66,-98.66,4.14266118,-98.66,0,5246.229444,730.7758971,7216.421567,-2326.84,1,0,1,0,3.865569273,7,BruteForce,3,0,0,22,5291.023333,0
0,50,189.02,0,0,0,0,0,-1963.73286,292.27,0,189.02,1.683832335,189.02,0,1363.996111,837.6534435,1818.810463,-448.4566667,1,0,1,0,1.623952096,0,BruteForce,6,0,0,18,2247.05,1
0,50,,0,0,0,9,16,-2034.73904,461.94,-208.85,23.4,3.208571429,23.4,0,2269.15,351.6765637,2051.143571,-1460.503333,1,0,1,0,2.874285714,7,BruteForce,4,0,1,0,1620.263333,0
0,50,,0,0,0,1,53,-6731.236061,528.08,26.15,191.2,1.91627907,191.2,0,2837.326667,2153.260992,6209.826223,-1019.38,1,0,0,0,1.91627907,0,BruteForce,7,0,0,31,0,1
0,50,40.31,0,0,0,0,0,-5324.983069,194.78,-609.63,-609.63,4.074626866,-609.63,0,1083.333333,65.89429105,5592.794986,-316.7833333,1,0,1,0,3.603174603,7,BruteForce,5,0,1,13,3516.166667,0
0,50,2.29,0,0,0,1,4,-2439.539004,-17716.64,-18058.1,-17601.21,2.182879377,-17601.21,0,1692,773.372528,2684.54149,-129.9633333,1,0,2,0,1.667963684,3,BruteForce,5,1,1,0,1692,1
0,50,183.21,0,0,0,14,72,-7454.641367,805.1,-645.17,612.18,5.364741641,612.18,0,10918.98889,660.796518,5849.174278,-2473.4,2,0,1,0,2.258258258,7,BruteForce,3,0,0,20,0,1
0,50,0.16,0,0,0,0,1,-2714.176099,599.1,-15,0.16,2.96744186,0.16,0,4206.2,431.5544428,2359.461892,-869.8366667,1,0,0,0,2.96744186,1,BruteForce,3,0,0,0,2102.81,1
0,50,,0,0,0,0,0,-3141.550321,208.17,-457.1,37.64,4.065088757,37.64,0,711.0422222,171.1022877,2741.064162,-1607.856667,1,0,0,0,4.065088757,5,BruteForce,5,0,1,5,3187.996667,1
0,50,381.29,0,0,0,0,0,-2305.353519,325.95,-99.46,297.81,3.458333333,297.81,0,1966.35,360.7747094,825.0031522,-246.4533333,1,0,1,0,2.727777778,13,BruteForce,5,0,1,0,1641.323333,0
0,50,9.24,0,0,0,2,8,-3505.080163,187.08,-176.98,40.11,7.058536585,40.11,0,1923.146667,207.7441827,3437.497297,-1458.023333,1,0,1,0,6.863414634,5,BruteForce,11,0,0,9,3864.693333,0
0,50,194.72,0,0,0,0,1,-2473.613936,539.41,-32.44,195.86,2.290410959,195.86,0,2743,90.91429512,1971.053272,-1679.446667,2,0,1,0,3.311111111,9,BruteForce,5,0,0,18,3679.066667,0
0,50,0,0,0,0,2,2,-4015.748653,209.48,-274.81,-1.82,4.088832487,-1.82,0,2375.22,80.88126887,3208.847114,-555.96,3,0,0,0,5.35443038,13,BruteForce,11,0,0,0,0,1
0,50,,0,0,0,1,1,-2628.202778,216.05,-39.79,31.29,1.696969697,31.29,0,1707.34,67.56737562,2557.276641,-759.2233333,1,0,0,0,1.696969697,3,BruteForce,4,0,1,0,1195.296667,0
0,50,0,0,0,0,0,0,-3925.387821,72.18,0,1510.44,5.097893432,1510.44,0,1780,1595.928637,3641.550267,-1009.146667,4,0,7,0,2.061480552,0,BruteForce,5,0,1,0,741.6666667,1
0,50,,0,0,0,0,0,-3233.312673,1488.13,-24.99,0.14,3.36682243,0.14,0,2940.173889,428.8000967,2040.856944,-1380.143333,1,0,1,0,3.306074766,1,BruteForce,5,0,1,28,2946.76,0
0,50,271.28,0,0,0,0,0,-6709.126815,1470.41,65.06,271.28,6.209677419,271.28,0,2343.741111,63.92282611,5108.3575,-1122.036667,1,0,0,0,6.209677419,0,BruteForce,5,0,1,29,3702.376667,0
0,50,-32.55,0,0,0,0,0,-6439.788255,667.91,-132.41,-61.07,5.774227902,-61.07,0,2097.16,939.9646405,5624.245005,-1162.573333,1,0,1,0,5.031948882,9,BruteForce,3,0,0,17,6433.153333,0
0,50,401.98,0,0,0,0,48,-4581.601331,2316.24,0,3217.59,3.023319616,3217.59,0,3215.946667,730.902263,4283.600587,-2201.343333,1,0,2,0,3.013717421,0,BruteForce,3,0,0,29,6311.793333,0
0,50,4.76,0,0,0,0,0,-3391.730142,384.54,-32.68,4.76,3.336170213,4.76,0,2423.698333,237.4776733,3357.349713,-883.8066667,1,0,1,0,3.336170213,10,BruteForce,5,0,1,14,3887.963333,0
0,50,,0,0,0,0,0,-5017.92524,347.91,-276.82,67.52,3.349782293,67.52,0,2000.43,690.5722224,4629.904513,-1253.673333,1,0,1,0,2.978229318,0,BruteForce,3,1,0,0,1043.92,1
0,50,41.2,0,0,0,17,55,-3033.241334,196.86,-251.25,232.58,3.68956743,232.58,0,1137.5,730.7471604,2446.861588,-1103.956667,1,0,0,0,3.68956743,7,BruteForce,3,1,0,14,3518.313333,0
0,50,785.89,0,0,0,0,0,-6259.646307,310.49,-358.59,785.89,7.477272727,785.89,0,4626.96,90.27072547,6550.298295,-777.46,1,0,0,0,7.477272727,18,BruteForce,5,0,1,0,3430.593333,0
0,50,-332.11,0,1,188.75,17,133,-6077.318352,-290.66,-1362.27,37.58,4.432142857,37.58,0,1208,563.4122547,5909.003968,-5000.436667,2,1,0,405.35,2.722719141,36,BruteForce,11,0,0,0,1208,0
0,50,287.04,0,0,0,0,0,-4878.999622,326.66,-104.14,-102.53,4.564732143,-102.53,0,3077.092778,448.9511552,3363.164968,-920.7833333,1,0,1,0,3.395089286,23,BruteForce,5,0,1,8,4723.64,0
0,50,0.19,0,0,0,0,1,-1979.526354,150.99,0,0.19,1.878980892,0.19,0,1380.166667,165.8170257,1724.218128,-459.94,1,0,0,0,1.878980892,0,BruteForce,4,0,1,8,2364.686667,1
0,50,-10.91,0,0,0,8,38,-1637.944259,135.06,-201.74,-10.91,3.224677716,-10.91,0,1330.456111,546.730348,1571.175899,-795.99,1,0,1,0,2.900552486,10,BruteForce,4,1,0,11,2066.656667,1
0,50,5.98,0,0,0,0,0,-2700.90875,431.69,-0.27,27.09,3.827160494,27.09,0,1769.44,81.84223654,3209.200785,-777.6933333,1,0,0,0,3.827160494,0,BruteForce,3,0,0,0,892.1866667,1
0,50,7.7,0,0,0,0,14,-2027.707542,768.43,4.22,7.7,2.149931224,7.7,0,1352.397222,730.9573211,1495.335306,-1210.816667,1,0,0,0,2.149931224,0,BruteForce,5,0,1,18,2427.34,1
0,50,-28.6,0,0,0,2,6,-2504.923106,182.93,-123,-28.6,3.623869801,-28.6,0,2247.613333,554.8189946,1254.119217,-656.71,1,0,1,0,3.591320072,5,BruteForce,11,0,0,17,2785.083333,1
0,50,0,0,0,0,1,1,-3025.696738,167.01,-11.81,0,4.388059701,0,0,2922.666667,136.3162719,2663.930255,-305.02,1,0,1,0,3.895522388,4,BruteForce,3,1,0,0,730.6666667,0
0,50,42.49,0,0,0,1,1,-2958.009726,-36.48,-1668.58,-667.94,1.512304251,-667.94,0,2169.093333,78.9038575,2938.129382,-453.36,5,0,2,0,0.662983425,12,BruteForce,3,1,0,0,0,1
0,50,0.33,0,0,0,0,0,-1882.432818,101.33,-187.4,0.33,3.191011236,0.33,0,1223.72,90.60679599,1880.686973,-416.1133333,1,0,0,0,3.191011236,20,BruteForce,3,0,0,0,322.7333333,1
0,50,21.85,0,0,0,1,1,-2802.612405,168.48,-95.26,21.85,3.352272727,21.85,0,1661.98,90.35795837,2481.858056,-395.7333333,1,0,0,0,3.352272727,0,BruteForce,5,0,1,0,1391.03,1
0,50,-14.2,0,0,0,0,0,-1905.134658,469.62,-14.2,-14.2,3.358974359,-14.2,0,1922.83,196.9630726,1985.072995,-1341.623333,1,0,1,0,3.358974359,1,BruteForce,5,0,1,17,2191.163333,1
0,50,8.26,0,0,0,3,14,-4288.170394,120.19,-154.37,8.26,4.243093923,8.26,0,2104.266667,547.0825354,4271.976898,-1286.806667,1,0,0,0,4.243093923,0,BruteForce,11,0,0,10,3825,0
0,50,,0,0,0,2,4,-3168.486619,110.94,-75.42,1.74,2.568595041,1.74,0,1880.666667,606.549786,2390.974524,-628.2566667,1,0,0,0,2.568595041,2,BruteForce,3,0,0,0,434,1
0,50,,0,0,0,6,17,-4739.453136,258.96,-206.48,108.82,2.863979849,108.82,0,1815.67,795.6045518,3363.729865,-1165.16,1,0,0,0,2.863979849,8,BruteForce,5,0,1,0,1470.316667,0
0,50,5.19,0,0,0,3,3,-3837.652211,378.85,-88.89,5.19,3.682692308,5.19,0,3187.303889,105.8273985,4293.399405,-936.26,1,0,0,0,3.682692308,0,BruteForce,4,0,1,24,3707.486667,1
0,50,-2.45,0,1,0,12,42,-2494.930875,-28.62,-1045.11,-2.45,2.439453125,-2.45,0,1370,514.3723141,2411.923707,-621.15,1,1,0,0,2.439453125,26,BruteForce,3,0,0,0,1370,1
0,50,13.52,0,0,0,0,0,-5474.841157,639.95,-12.2,92.88,4.933333333,92.88,0,2203.817778,92.87717371,5200.494828,-1505.56,1,0,0,0,4.933333333,0,BruteForce,5,0,1,24,4900.376667,1
0,50,,0,0,0,0,0,-4815.055266,672.18,-190.34,298.84,3.488114105,298.84,0,2321.15,631.7004317,3267.831952,-799.5966667,1,0,1,0,3.020602219,1,BruteForce,5,1,1,24,8909.023333,0
0,50,1.54,0,0,0,7,7,-7731.830256,335.74,-44.04,1.54,4.545454545,1.54,0,2956,90.40910543,7825.378788,-1234.086667,1,0,0,0,4.545454545,18,BruteForce,5,1,1,0,1923.333333,1
0,50,21.59,0,0,0,0,0,-4028.536643,567.12,-87.02,-87.02,3.035856574,-87.02,0,3498.249444,177.7478353,5632.851165,-979.5766667,2,0,2,0,4.125714286,3,BruteForce,5,0,1,17,5660.506667,1
0,50,35.69,0,0,0,6,60,-4746.696087,142.29,-348.71,87.71,3.416326531,87.71,0,2166.666667,297.7010191,4292.166861,-1443.366667,5,0,2,0,1.570093458,1,BruteForce,5,0,1,0,0,1
0,50,-84.76,0,0,0,0,0,-988.7657895,137.17,-84.34,-84.34,2.772117962,-84.34,0,650,363.6971758,951.4113045,-649.32,1,0,1,0,2.670360111,3,BruteForce,3,0,0,18,1248.673333,1
0,50,,0,0,0,0,0,-983.2093621,58.82,-1.44,6.3,1.481481481,0.5,0,1588,90.70759915,143.1286667,-208.6933333,1,0,0,0,1.481481481,0,BruteForce,3,0,0,3,934.7,1
0,50,-13.03,0,0,0,0,0,-2386.917751,180.55,-68.19,53.39,1.312757202,53.39,0,2260.252222,486.3819053,846.2862395,-848.1466667,1,0,1,0,0.99382716,20,BruteForce,5,0,0,0,1650.666667,1
0,50,0,1,1,60,6,20,-2774.764595,207.34,-60.51,721.94,3.296954315,155.04,0,837.2144444,2003.900378,2584.091309,-1022.113333,1,1,2,2951.66,2.842239186,0,BruteForce,6,0,0,22,0,1
0,50,-74.66,0,0,0,0,0,-2519.7244,242.83,-74.94,-74.66,1.966714906,-74.66,0,2672.106667,691.8387252,526.8884838,580.7866667,1,0,1,0,1.658465991,30,BruteForce,3,0,0,7,3644.476667,0
0,50,51.62,0,0,0,0,0,-2724.267794,391.1,-36.75,51.62,2.257763975,51.62,0,1206.111111,323.735346,1923.608566,-1035.95,1,0,1,0,2.27672956,2,BruteForce,5,1,0,19,5517.86,1
0,50,7,0,0,0,0,0,-2702.122037,261.37,0.74,7,1.911111111,7,0,1880.031111,90.99960052,3042.712703,-174.7566667,1,0,0,0,1.911111111,0,BruteForce,5,1,1,13,2734.393333,1
0,50,656.34,0,0,0,0,0,-1667.325515,246.47,-40.47,656.34,2.124365482,656.34,0,1338.3,724.0082737,877.1831497,-955.8433333,1,0,1,0,1.982233503,7,BruteForce,5,0,1,0,1100.893333,1
0,50,97.63,0,0,0,4,37,-4352.291506,401.44,-20.5,108.63,3.804071247,108.63,0,1951.17,548.7510921,4499.057192,-940.66,1,0,1,0,3.804071247,3,BruteForce,5,0,1,0,1366.203333,1
0,50,247.44,0,0,0,2,8,-3699.122495,66.46,-265.84,247.44,3.232590529,247.44,0,2826.84,720.542735,3556.620833,-1148.173333,1,0,0,0,3.232590529,23,BruteForce,5,0,1,0,2159.223333,1
0,50,0.87,0,0,0,0,2,-2771.959303,311.56,0,0.87,2.777472527,0.87,0,2031.134444,730.7155843,2605.755165,-980.2733333,1,0,1,0,2.777472527,0,BruteForce,5,0,1,16,3365.183333,1
0,50,4.65,0,0,0,0,0,-3125.391265,577.31,-92.34,21.73,3.669211196,21.73,0,1746.02,744.5852225,2927.605036,-831.0266667,1,0,2,0,3.256997455,17,BruteForce,3,0,0,15,2590.25,0
0,50,,0,0,0,9,9,-3634.628608,297.8,-554.5,203.54,3.549019608,203.54,0,2469.97,103.6741346,3490.205147,-944.5933333,1,0,1,0,3.529411765,3,BruteForce,3,0,0,0,1261.716667,1
0,50,10.15,0,0,0,0,0,-4337.943109,1010.53,-42.72,1710.38,4.298835705,1710.38,0,1581.666667,774.515955,3501.288277,-1226.643333,1,0,1,0,3.690815006,1,BruteForce,3,0,0,26,0,1
0,50,1.28,0,0,0,1,1,-1189.830776,65,-38.52,1.28,1.258503401,1.28,0,1717.2,149.0004116,1192.971868,-549.77,1,0,0,0,1.258503401,0,Tagging,,,,0,0,0
0,50,17.39,0,0,0,0,0,-3454.710755,237.6,0,27.39,4.709183673,22.39,0,1936.501667,562.6315417,2834.244596,-1271.926667,1,0,1,0,4.704081633,0,BruteForce,5,0,1,19,3577.02,1
0,50,,0,0,0,3,10,-5077.332166,412.83,-205.56,4.59,3.813186813,4.59,0,2103.5625,183.8601196,2994.95116,-671.41,1,0,0,0,3.813186813,0,BruteForce,11,0,0,23,5329.036667,1
0,50,0,0,0,0,0,0,-2316.946493,80.18,-68.98,-44.47,5.443877551,-44.47,0,1300,501.6822875,2241.294773,-1055.53,2,0,3,0,3.974489796,16,BruteForce,3,0,0,0,0,1
0,50,663.6,0,0,0,0,0,-3054.636231,316.14,-99.95,983.59,3.280205656,983.59,0,2160.650556,737.6361711,3171.715286,-839.98,1,0,1,0,2.488431877,18,BruteForce,3,0,0,20,4242.323333,0
0,50,0,0,0,0,0,13,-2026.399392,452.62,36.81,1199.92,6.092804304,1008.51,0,1089.69,839.6088746,2193.328237,-476.1533333,3,0,6,0,7.050179211,0,BruteForce,5,0,1,0,0,1
0,50,,0,0,0,1,1,-2515.861475,176.02,-4.49,418.61,3.51372549,418.61,0,2281.42,256.681875,2406.138448,-608.2766667,1,0,0,0,3.51372549,1,BruteForce,11,0,0,0,1840.176667,1
0,50,,0,0,0,0,0,-3254.141289,697.34,4.31,55.89,2.923809524,55.89,0,2937.313889,735.2402395,2846.310163,-1252.063333,1,0,1,0,2.737414966,0,BruteForce,5,0,0,18,3914.443333,1
0,50,2.84,0,0,0,2,7,-2905.895429,409.78,-106.5,10.76,2.937414966,10.76,0,2137.106111,737.7886383,2395.452755,-657.16,1,0,0,0,2.937414966,8,BruteForce,5,0,1,14,3674.93,0
0,50,36.41,0,0,0,1,3,-2130.805459,257.97,-67.51,36.41,3.043367347,36.41,0,1802.666667,550.9592188,2124.184127,-1329.87,1,0,0,0,3.043367347,2,BruteForce,5,0,1,22,3423.073333,0
0,50,,0,1,0,1,15,-7149.289595,1305.99,-63.47,-4.41,6.010204082,-4.41,0,4646.06,467.8651791,5916.26433,-3688.236667,3,1,2,0,4.250535332,2,BruteForce,3,0,0,21,6673.05,1
0,50,78.01,0,0,0,0,0,-1900.431648,182.25,-15.27,198.26,2.54460719,198.26,0,1346.706111,753.7192682,1622.440251,-585.5266667,1,0,1,0,2.383488682,33,BruteForce,3,0,0,7,1454.47,0
0,50,255.19,0,0,0,0,0,-2696.960343,-7.07,-234.64,553.32,2.902366864,553.32,0,2091.36,340.9175322,3116.112486,-960.5633333,2,0,0,0,2.902366864,23,BruteForce,3,0,0,0,1119.52,1
0,50,-9.58,0,0,0,0,0,-3935.526819,437.64,-19.7,-9.58,3.694444444,-9.58,0,1672.666667,72.7837355,901.5204282,-2010.123333,1,0,0,0,3.694444444,12,BruteForce,3,0,0,21,3377.486667,0
